M667489104502890496,4, _ يااحل ى من الجمال ي اكث ر من خي ال ي سعوديه ي كايده الع ذال لماذا_يا_خوله_العنزي ,كلاهما,لا يمكن تحديده
M667766150961496064,4, 52 من 2 159 صوت يرون لابد من تدخل القبيله وايقاف خوله_العنزي لماذا_يا_خوله_العنزي ,سلبي,محايد
M667374393987866624,11, I love u رفعت راس السعوديات وحققي احلامك انت super woman لماذا_يا_خوله_العنزي ,لا يمكن تحديده,إيجابي
M667396768175407104,9, ابحث عن قضيه عن شعب فلم اجد يهبوا في وجه عارضه باسم الشرف ولا يحرك غيرتهم شرف الفكر لماذا_يا_خوله_العنزي ,سخرية,سلبي
M667378287795118080,1, اتفهم حريتك في اتخاذ قرارك مادام انه دون الكبائر لكن هناك عادات وتقاليد اجتماعيه تمنع العقلاا من تخطيها ف لماذا_يا_خوله_ا ,محايد,سلبي
M667373232966778880,1, اتقوا الله في انفسكم واشتغلوا بترك ذنوبكم واتركوها لمن بيده حسابها لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667391305539014656,1, اتقي الله لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667375293041123328,3, اتمنى تكون بامان منكم يا الدواعش تراها تسوي شيا طبيعي ومهنه طبيعيه خلوها تعيش حلمها بلا سخافه وتخلف لماذا_يا_خوله_الع ,سلبي,كلاهما
M667619445888696320,1, احتاروا مع مجتمعنا فاختاروا شحذه النووي الحمدلله على غيظهم وقهرهم لماذا_يا_خوله_العنزي,لا يمكن تحديده,كلاهما
M667639457760301056,3, احلى تحيه لعنزه احلى تحيه لعتيبه احلى تحيه لشمر و الخ الخ كانت تدوي في المراقص و لم يقل لهم احد لماذا يا شباب لماذا_ي ,سلبي,كلاهما
M667782410453524480,3, اختارت مجال وهي حره باختيارها لا تهاجموها عشان اسمها الاخير فهو اسم لن يقدم ولن يؤخر بلاش هبل لماذا_يا_خوله_العنزي,كلاهما,إيجابي
M667694659037216768,1, اختارت واهلها موافقين انتو وش دخلكم يالملاقيف ما اردى من اللي يتوعدها بجهنم الا اللي يقول رفعت راس قبيلتها لماذا_يا_خوله_ال ,كلاهما,إيجابي
M667386990451679232,1, اختاه_موتي اختاه_المطبخ اختاري_اتزوج_عليك_ولا_اخونك لماذا_يا_خوله_العنزي مادري منو خوله بس عليهم عليهم,لا يمكن تحديده,محايد
M667608625809092608,1, اذا جت اللحظه اللي نترك فيها كلام الله ورسوله عن انكار المنكر وسمعنا كلامك هذا يصير خير لكن معصي لماذا_يا_خوله_العنزي,لا يمكن تحديده,سلبي
M667424499416113152,2, ارايت من اتخذ ال هه هواه افانت تكون عليه وكيلا الفرقان 43 لماذا_يا_خوله_العنزي,لا يمكن تحديده,محايد
M667511254077087744,3, استمري يا جميله لكن بعيد عن هذه الارض المنافقه جمالك لا يجب ان يحجب لماذا_يا_خوله_العنزي,كلاهما,إيجابي
