M671411737485291520,3, 1 الحين النصراويه شانين حمله ع الحكم ونسوا او تناسوا السنتين الماضيه لهم وما جاا الدوري والكاس الا بمساعده شكري_الحنفوش ,سلبي,لا يمكن تحديده
M671409057127907328,5, 1 شوط موميز للهلال ولاكن الي استغربه الحنفوش لماذا يتجاهل الاخطاا ويضع نقاط الجدل بان الهلال استفاد من التحكيم الهلال_ال ,سلبي,إيجابي
M671415652939354112,3, 1_الفوز والتاهل 2_صياح الفقراويه باقي قرار ايقاف السومه ويكتمل الهاتريك الجميل الهلال_التعاون,سلبي,إيجابي
M671410020144295936,1, 1000 مبروك يازعماا فوز مستحق والحكم كان دون المستوى حالات طرد كثيره يستحقونها لاعبين التعاون الهلال_التعاون,كلاهما,إيجابي
M671409231510290432,4, 2 الانفراده صحيحه لايوجد بها تسلل خروج شراحيلي عن المنطقه ضربه جزاا الهلال غير صحيحه توجد ضربه جزاا لتعاون شي محير ا ,سلبي,لا يمكن تحديده
M671408349498470400,7, 3 اتمنى من الحكام اعطاا لي كل ذي حق حقه والهلال قادر على الانتصار بدون تدخل او مجامله او اخطاا تقديريه الهلال_التعاون,سلبي,إيجابي
M671411593327046656,1, 3 ضربات جزاا لم تحتسب له وفاو ت هدف صحيح الغاه مساعد الحكم النتيجه الصحيحه 5 للتعاون 1 اله ل الهلال_التعاون,سلبي,محايد
M671416007366438912,1, Gooo oooL هلاليي التون الميداا الهلال_التعاون,إيجابي,لا يمكن تحديده
M671409933305421824,38, mafarhz RT ZiadZozo6 بلا منشطات او دفع رباعي هيا بنا الى ربع النهائي الهلال_التعاون,سخرية,لا يمكن تحديده
M671409634767450112,7, Mood سمعوووني صياحكم الهلال الهلال_التعاون سمعني_صياحك ,سلبي,لا يمكن تحديده
M671410643766018048,1, ابتسامه لاعبين الهلال اكتب اسم الاعب الذي عرفته من ابتسامته الهلال_التعاون ,إيجابي,محايد
M671408688217858048,67, ابرز صفقات الهلال للبطولات المحليه الهلال_التعاون ,إيجابي,محايد
M671415042970120192,6, ابغى صياح النصراويه احطها نغمه ل جوالي الهلال_التعاون,سلبي,سخرية
M671411333640888320,3, ابو كرش علق بمنشن الملك الهلال_التعاون ,سلبي,لا يمكن تحديده
M671414745157758976,2, اتجاهل الجميع حين تكون انت موجود ف الناس للناس وانت ل ي انا على_فكره_اليوم_الهلال الهلال_التعاون صباح الهلال ,إيجابي,لا يمكن تحديده
M671410158778646528,6, اتمنى من اداره الهلال التنسيق مع لجنه الحكام تكريم الحكم الحنفوش اتمنى له التوفيق فديته والله الهلال_التعاون ,إيجابي,محايد
M671409663129362432,1, اتمنى من اصحاب المركز السادس اللي مايلعبون في الكؤوس يقصرون صوتهم نبي نركز الهلال_التعاون,سلبي,سخرية
M671409198563991552,2, اتمنى من اصحاب المركز السادس ينسحبون بهدوا والى النوم الهلال_التعاون,سلبي,سخرية
M671416236111212544,3, اتوقع لو يدرون عنها غينيس دخلوها بالموسوعه على طول الهلال_التعاون ,لا يمكن تحديده,سخرية
M671408373078863872,215, اجلد اصفر القصيم فالصاح اصفر الرياض الهلال_التعاون,سلبي,لا يمكن تحديده
M671408707838844928,3, اجمل انتصارات الزعيم التي ياتي بعدها صراخ اصفر الهلال الهلال_التعاون,كلاهما,إيجابي
M671408925401620480,2, اجمل شيا ف المباراه الهلال فايز واعلام وجمهور النصر لطم وصياح الهلال_التعاون ,كلاهما,إيجابي
M671410107914297344,1, اجمل ما قال المتميلحين انتي جميله كجمال الكره بين اقدام الهلال الهلال_التعاون,إيجابي,لا يمكن تحديده
M671412704150757376,3, اجمل من فرحه الفوز والتاهل كميه الدموع الصفراا التي نراها الان من النشموريين الذي قالوا ذات يوم طز بشنب رجال مايفتخر فيك الهل ,كلاهما,إيجابي
M671408492578754560,1, اجمل موسيقى ممكن تسمعها نباح النصراويه وهم يسعبلون الهلال شكرا_شكري اضغطهم_ضغط الهلال_التعاون,كلاهما,إيجابي
M671411339521302528,5, احبك لين تصرخ بي كفى الهلال الهلال_التعاون قروب_الزعيمات_للدعم_الهلالي ,إيجابي,لا يمكن تحديده
M671408973883580416,9, احترامي للحرامي الهلال_التعاون ,لا يمكن تحديده,سلبي
