"V1","V2"
"مااتنفع","negative"
"مااحبها","negative"
"مااقدر","negative"
"مابرجع","negative"
"مابيح","negative"
"ماتربحون","negative"
"ماتردون","negative"
"ماتستاهل","negative"
"ماتستحقون","negative"
"ماتسرقونا","negative"
"ماتشتغل","negative"
"ماتشحن","negative"
"ماتفتح","negative"
"ماحبكم","negative"
"مافاد","negative"
"مانفتح","negative"
"مانفذوا","negative"
"مايساعد","negative"
"مايسوى","negative"
"مايشتغل","negative"
"مايصحش","negative"
"مايعرفو","negative"
"مايغضب","negative"
"مايفتح","negative"
"ماينسكت","negative"
"ماينفعون","negative"
"مايهمهم","negative"
"مايوصلني","negative"
"ابن سلول","negative"
"ابوالرعب","negative"
"ابوفكر","negative"
"ابولهب","negative"
"احسن الله عزائكم","negative"
"ازفت من الزفت","negative"
"ازماتنا لا تنتهي","negative"
"اشق هدومي","negative"
"اعاده اللحق","negative"
"اعوذ بالله","negative"
"اكل تبن","negative"
"قليل الخاتمه","negative"
"الشكوى لله","negative"
"الغلا الفاحش","negative"
"الغير لايق","negative"
"اللا مبالاه","negative"
"اللا منطقيه","negative"
"اللحم العاري","negative"
"الله المستعان","negative"
"الله حسيبهم","negative"
"الله فوق","negative"
"الله لا يبارك","negative"
"الله لا يثمر","negative"
"الله لا يوفقك","negative"
"الله لا يوفقكم","negative"
"الله ياخذكم","negative"
"الله ياخذهم","negative"
"الله يخلف","negative"
"الله يرحم","negative"
"الله يستر","negative"
"الله يسترنا بستره","negative"
"الله يسلط","negative"
"الله يعكر","negative"
"الله يعوضنا","negative"
"الله يعين","negative"
"الله يعينا","negative"
"الله يعينكم","negative"
"الله يعينهم","negative"
"الله يقلعك","negative"
"الله يقلعها","negative"
"الله يكفينا","negative"
"ام ركب سودا","negative"
"بدون مراقبه","negative"
"بلا دلاعه","negative"
"تخلخلت حنوكتس","negative"
"تسد النفس","negative"
"تفو عليكم","negative"
"تكرم عنها","negative"
"حامت كبودنا","negative"
"حرق اعصاب","negative"
"حسبنا الله","negative"
"حسبي الله","negative"
"حسبي الله عليك","negative"
"حسبي الله ونعم الوكيل","negative"
"خاف الله","negative"
"خافو الله","negative"
"رحنا فيها","negative"
"رايح فيها","negative"
"زياده اسعار","negative"
"سود الله وجهك","negative"
"شنو هالدلع","negative"
"ضد تعليق","negative"
"طرش بحر","negative"
"عدم السماح","negative"
"عدم المعرفه","negative"
"عدم تعليق","negative"
"على شحم","negative"
"على غير سنع","negative"
"غضب الله","negative"
"غير حضاري","negative"
"غير حضاريه","negative"
"غير سالك","negative"
"غير صحيح","negative"
"غير لائقه","negative"
"غير مريح","negative"
"غير مستعده","negative"
"غير مطمئن","negative"
"غير مقبول","negative"
"غير مناسب","negative"
"غير منتجه","negative"
"غير منطقي","negative"
"غير منطقيه","negative"
"غير مهتمه","negative"
"فوا اسفاه","negative"
"قله ادب","negative"
"قله الحيا","negative"
"قليل ادب","negative"
"قليل الادب","negative"
"كفر النعم","negative"
"لا اؤيد","negative"
"لا ارحب","negative"
"لا بارك","negative"
"لا تؤاخذنا","negative"
"لا تبشر","negative"
"لا تبلانا","negative"
"لا تتفائلوا","negative"
"لا تثير","negative"
"لا تحطون","negative"
"لا تخدم","negative"
"لا تخرب","negative"
"لا ترفعون","negative"
"لا تزال","negative"
"لا تشغلنا","negative"
"لا تصلح","negative"
"لا تطالبون","negative"
"لا تعشمون","negative"
"لا تعلقون","negative"
"لا تعلقونها","negative"
"لا تعليق","negative"
"لا تفرحوا","negative"
"لا تلوم","negative"
"لا تمثل","negative"
"لا توافقون","negative"
"لا جدوى","negative"
"لا حول ولا قوه","negative"
"لا خير","negative"
"لا داعي","negative"
"لا ذنب","negative"
"لا راح","negative"
"لاستفزاز الناس","negative"
"لا شرف","negative"
"لاشوف","negative"
"لا عقل","negative"
"لا فلحتو","negative"
"لا قيمه","negative"
"لا لمقلوب","negative"
"لا نؤيد","negative"
"لا نبي","negative"
"لا نتمنى","negative"
"لا نحتاج","negative"
"لا نريد","negative"
"لا نستفيد","negative"
"لانهاك","negative"
"لايبلانا","negative"
"لا يبيحكم","negative"
"لا يتحمسون","negative"
"لا يتحمل","negative"
