V1,V2,,,
يملك خبره,positive,,,
يغفر له ويرحمه,positive,,,
ي ابطال,positive,,,
يارب الفرج,positive,,,
يارب تنصر,positive,,,
يا غالينا,positive,,,
يالبيه,positive,,,
وفقه الله,positive,,,
نعم الله,positive,,,
نصرا عزيزا,positive,,,
مطمئن القلب,positive,,,
ملك القلوب,positive,,,
لن ننسى,positive,,,
لن يموت,positive,,,
ماقصرتو,positive,,,
مايحبه,positive,,,
لاتعبتو,positive,,,
لا خوف,positive,,,
لاستقرار,positive,,,
لا يهزم,positive,,,
كان الله في عون,positive,,,
في قلبي,positive,,,
فرج الله,positive,,,
فرج كربتهم,positive,,,
عظم الله,positive,,,
عظم الله اجر,positive,,,
عجل فرجهم,positive,,,
طيبه قلبه,positive,,,
ضحى بحياته,positive,,,
طفره علميه واقتصاديه,positive,,,
سلام وحوار,positive,,,
سيف سلمان,positive,,,
رمز لسلام والمحبه,positive,,,
رحمك الله,positive,,,
رحم الله,positive,,,
حيويه الشباب,positive,,,
خط احمر,positive,,,
دام عزك ياوطن,positive,,,
حفظ الامن,positive,,,
بعون الله,positive,,,
بارقه امل,positive,,,
امه في رجل,positive,,,
اللهم ارحم,positive,,,
اللهم ارحن,positive,,,
اللهم ارزقهم,positive,,,
اللهم ارفع,positive,,,
اللهم استودعناك,positive,,,
اللهم اصلح,positive,,,
اللهم الطف,positive,,,
اللهم انصر,positive,,,
اللهم انصرهم,positive,,,
اللهم ايدهم,positive,,,
اللهم سدد,positive,,,
اللهم صبر,positive,,,
اللهم عيننا,positive,,,
اللهم فرج,positive,,,
اللهم فرجك,positive,,,
اللهم نصرك,positive,,,
الله يرحمك,positive,,,
الله يرحمه,positive,,,
الله يعز,positive,,,
الله يغفر,positive,,,
الله يفرجها,positive,,,
الله يقويكم,positive,,,
الله ينصركم,positive,,,
الله ينصرهم,positive,,,
السيف الاملح,positive,,,
الامن خط احمر,positive,,,
اعظم الله لكم الاجر,positive,,,
اثنى عليه,positive,,,
اتقو االله,positive,,,
ابتسامه عرفان,positive,,,
ي زين,positive,,,
ي زينه,positive,,,
مو ضعيف,positive,,,
ما تحملون,positive,,,
ما شاالله,positive,,,
ما عطتهم,positive,,,
مافي اسرع,positive,,,
ليس ضعيف,positive,,,
لله الحمد,positive,,,
