"V1","V2"
"ابن سلول","negative"
"ابوالرعب","negative"
"ابوفكر","negative"
"ابولهب","negative"
"احسن الله عزائكم","negative"
"ازفت من الزفت","negative"
"ازماتنا لا تنتهي","negative"
"اشق هدومي","negative"
"اعاده اللحق","negative"
"اعوذ بالله","negative"
"اكل تبن","negative"
"الغلا الفاحش","negative"
"اللا مبالاه","negative"
"اللا منطقيه","negative"
"اللحم العاري","negative"
"الله المستعان","negative"
"الله حسيبهم","negative"
"الله فوق","negative"
"الله لا يبارك","negative"
"الله لا يثمر","negative"
"الله لا يوفقك","negative"
"الله لا يوفقكم","negative"
"الله ياخذكم","negative"
"الله ياخذهم","negative"
"الله يخلف","negative"
"الله يرحم","negative"
"الله يستر","negative"
"الله يسترنا بستره","negative"
"الله يسلط","negative"
"الله يعكر","negative"
"الله يعوضنا","negative"
"الله يعين","negative"
"الله يعينا","negative"
"الله يعينكم","negative"
"الله يعينهم","negative"
"الله يقلعك","negative"
"الله يقلعها","negative"
"الله يكفينا","negative"
"ام ركب سودا","negative"
"بلا دلاعه","negative"
"تخلخلت حنوكتس","negative"
"تسد النفس","negative"
"تكرم عنها","negative"
"حامت كبودنا","negative"
"حرق اعصاب","negative"
"حسبي الله عليك","negative"
"حسبي الله ونعم الوكيل","negative"
"رحنا فيها","negative"
"رايح فيها","negative"
"زياده اسعار","negative"
"سود الله وجهك","negative"
"شنو هالدلع","negative"
"طرش بحر","negative"
"عدم السماح","negative"
"عدم المعرفه","negative"
"عدم تعليق","negative"
"على شحم","negative"
"غير حضاري","negative"
"غير حضاريه","negative"
"غير سالك","negative"
"غير صحيح","negative"
"غير لائقه","negative"
"غير مريح","negative"
"غير مستعده","negative"
"غير مطمئن","negative"
"غير مقبول","negative"
"غير مناسب","negative"
"غير منتجه","negative"
"غير منطقي","negative"
"غير منطقيه","negative"
"غير مهتمه","negative"
"فوا اسفاه","negative"
"قله ادب","negative"
"قله الحيا","negative"
"قليل ادب","negative"
"قليل الادب","negative"
"كفر النعم","negative"
"لا اؤيد","negative"
"لا ارحب","negative"
"لا بارك","negative"
"لا تؤاخذنا","negative"
"لا تبشر","negative"
"لا تبلانا","negative"
"لا تتفائلوا","negative"
"لا تثير","negative"
"لا تحطون","negative"
"لا تخدم","negative"
"لا تخرب","negative"
"لا ترفعون","negative"
"لا تزال","negative"
"لا تشغلنا","negative"
"لا تصلح","negative"
"لا تطالبون","negative"
"لا تعشمون","negative"
"لا تعلقون","negative"
"لا تعلقونها","negative"
"لا تعليق","negative"
"لا تفرحوا","negative"
"لا تلوم","negative"
"لا تمثل","negative"
"لا توافقون","negative"
"لا جدوى","negative"
"لا حول ولا قوه","negative"
"لا خير","negative"
"لا داعي","negative"
"لا ذنب","negative"
"لا راح","negative"
"لاستفزاز الناس","negative"
"لا شرف","negative"
"لاشوف","negative"
"لا عقل","negative"
"لا فلحتو","negative"
"لا قيمه","negative"
"لا لمقلوب","negative"
"لا نؤيد","negative"
"لا نبي","negative"
"لا نتمنى","negative"
"لا نحتاج","negative"
"لا نريد","negative"
"لا نستفيد","negative"
"لانهاك","negative"
"لايبلانا","negative"
"لا يبيحكم","negative"
"لا يتحمسون","negative"
"لا يتحمل","negative"
"لا يجتمع","negative"
"لا يجوز","negative"
"لا يجيب","negative"
"لا يجيبه","negative"
"لا يحتاج","negative"
"لا يحطون","negative"
"لا يحقق","negative"
"لا يحيهم","negative"
"لا يخدم","negative"
"لا يخضع","negative"
"لا يذهب","negative"
"لا يرضون","negative"
"لا يزال","negative"
"لا يستحق","negative"
"لا يسمع","negative"
"لا يشرف","negative"
"لا يشغلنا","negative"
"لا يشكر","negative"
"لا يعاقبنا","negative"
"لا يعطيه","negative"
"لا يفتنا","negative"
"لا يقدر","negative"
"لا يقوله","negative"
"لا يكثر","negative"
"لا يكفي","negative"
"لا يليق","negative"
"لا يمكن","negative"
"لا يمكنه","negative"
"لا ينظر","negative"
"لا يوجد","negative"
"لعبه بزران","negative"
"لن تتحقق","negative"
"لن تطبق","negative"
"لن نرضى","negative"
"لن يبني","negative"
"لن يتم","negative"
"لن يحصل","negative"
"لن يحل","negative"
"لن يدفعوا","negative"
"لن يستفيد","negative"
"لن يسكت","negative"
"لن يسمح","negative"
"لن يفلح","negative"
"لن يوافق","negative"
"ليش فرحانين","negative"
"ليه تعلقون","negative"
"ما احب","negative"
"ما احفز","negative"
"ما احللهم","negative"
"ما استفاد","negative"
"ما استفدنا","negative"
"ما اشوف","negative"
"ما اوسخكم","negative"
"ما بعدكم","negative"
"ما بنروح","negative"
"مابي تعليق","negative"
"ما تبلبلون","negative"
"ما تتطور","negative"
"ما تتيسر","negative"
"ما تجمل","negative"
"ما تجي","negative"
"ما تجينا","negative"
"ما تحسون","negative"
"ما تستحون","negative"
"ما تشمون","negative"
"ما تطمن","negative"
"ما تعلق","negative"
"ما تفتح","negative"
"ما تلحقكم","negative"
"ما تمت","negative"
"ما تنفتح","negative"
"ما تهنيت","negative"
"ما حب","negative"
"ما درستوا","negative"
"ما راح","negative"
"ما راعوا","negative"
"ماستحيت","negative"
"ما سلمنا","negative"
"ما سوو","negative"
"ما شبعتوا","negative"
"ما طاعك","negative"
"ما عجبني","negative"
"ما غرقت","negative"
"ما فرحت","negative"
"ما في فايده","negative"
"ما فيه اسعاده","negative"
"ما فيه انصاف","negative"
"ما لنا رب","negative"
"مالها فايده","negative"
"ماله داعي","negative"
"ما لهم رب","negative"
"ما نبغاها","negative"
"ما نبغى","negative"
"ما نبي","negative"
"ما نبي تعليق","negative"
"ما نبيه","negative"
"ما نبيها","negative"
"ما نحتاج","negative"
"ما نحناج","negative"
"ما نريدها","negative"
"ما نشوف","negative"
"ما نشوفه","negative"
"ما نضجت","negative"
"ما نطبل","negative"
"ما نفرح","negative"
"ما هذا","negative"
"ماهقيت","negative"
"ماهقيتها","negative"
"ماهم كفؤ","negative"
"ما ياجلون","negative"
"ما يبشر","negative"
"ما يبون","negative"
"ما يتزحزح","negative"
"ما يثور","negative"
"ما يحتاج","negative"
"ما يحزنني","negative"
"ما يحطونها","negative"
"ما يساعدون","negative"
"ما يستاهل","negative"
"ما يستاهلون","negative"
"ما يستدعي","negative"
"ما يسمحوا","negative"
"ما يسمحون","negative"
"ما يشبع","negative"
"ما يصلح","negative"
"ما يصير","negative"
"ما يطمن","negative"
"ما يعلقون","negative"
"ما يعلقونها","negative"
"ما يفتحون","negative"
"ما يفتحونه","negative"
"ما يفتحونها","negative"
"ما يفتحوها","negative"
"ما يفرح","negative"
"ما يكفي","negative"
"ما يمشي","negative"
"ما ينفذ","negative"
"ما ينفع","negative"
"ما يوافقوا","negative"
"مب زينه","negative"
"مب فاهم","negative"
"مب لايق","negative"
"مب مقتدرين","negative"
"م تجي","negative"
"مخاطره كبير","negative"
"مع الاسف","negative"
"م نبغى","negative"
"م نبي","negative"
"م نحتاج","negative"
"مو لازم","negative"
"مو مؤيده","negative"
"مو مرتاح","negative"
"مو معقوله","negative"
"مو مقتنعه","negative"
"مو هادف","negative"
"مو وقته","negative"
"م يتحمل","negative"
"هتزيد اسعار","negative"
"ولادين","negative"
"ولانصلح","negative"
"ولايذهب","negative"
"ولايسمع","negative"
"يابعارين","negative"
"يابغضي","negative"
"ياتوافه","negative"
"ياجحده","negative"
"ياحسافتك","negative"
"ياحسافه","negative"
"ياحسرتي","negative"
"ياحظهم","negative"
"ياخبلان","negative"
"ياخوفك","negative"
"ياخوفي","negative"
"يادشير","negative"
"يادلوخ","negative"
"يارعاع","negative"
"ياساتر","negative"
"ياشينها","negative"
"ياصايعين","negative"
"ياطقوع","negative"
"ياغبني","negative"
"ياكسر","negative"
"ياكلاب","negative"
"يامتخلفين","negative"
"يامفسدين","negative"
"يامفلسين","negative"
"ياملاقيف","negative"
"ياهمج","negative"
"ياويلكم","negative"
"يخرب بيتك","negative"
"يخرب بيته","negative"
"غير عادله","negative"
"اعوذ بالله","negative"
"غير عادله","negative"
"مصائب","negative"
"اباحه","negative"
"اباحي","negative"
"اباحيه","negative"
"ابتلا","negative"
"ابتلاات","negative"
"ابتلاكم","negative"
"ابتلينا","negative"
"ابثرتونا","negative"
"ابثروا","negative"
"ابلشت","negative"
"ابلشتونا","negative"
"اتعجب","negative"
"اتعس","negative"
"اتفل","negative"
"اتفه","negative"
"اتقروش","negative"
"يخيب","negative"
"اتهامهم","negative"
"اثامهم","negative"
