"V1","V2"
"يالبيه","positive"
"يفتح النفس","positive"
"يعطيهم خير","positive"
"يابختكم","positive"
"يابختهم","positive"
"ياحبي","positive"
"ياحظ","positive"
"ياحظكم","positive"
"ياحظهم","positive"
"يازين","positive"
"يازينها","positive"
"ياسعدك","positive"
"ياسلام","positive"
"ياشهم","positive"
"يالبيه","positive"
"ياملحنا","positive"
"هنيالكم","positive"
"نيالكوم","positive"
"نفع الله بكم","positive"
"مامثل","positive"
"مايجوز","positive"
"مايعانون","positive"
"ما اجمل","positive"
"مااحلل","positive"
"مااشوف","positive"
"مابخلنا","positive"
"ماتحتاج","positive"
"ماشوف","positive"
"ماقصر","positive"
"ماقصرت","positive"
"م فيه اجمل","positive"
"لن يبخل","positive"
"لك الحمد","positive"
"لا باس","positive"
"لا تسرف","positive"
"لا قصرت","positive"
"سدد خطاهم","positive"
"رايتك بيضاء","positive"
"تفتح النفس","positive"
"بارك الله فيك","positive"
"الله اكبر","positive"
"الله كريم","positive"
"الله يبارك","positive"
"الله يبشركم","positive"
"الله يبيض","positive"
"الله يحفظ","positive"
"الله يحفظك","positive"
"الله يحفظه","positive"
"الله يحفظها","positive"
"الله يحفهم","positive"
"الله يديم","positive"
"الله يرزق","positive"
"الله يرزقنا","positive"
"الله يرزقهم","positive"
"الله يستر","positive"
"الله يسخر","positive"
"الله يسعد","positive"
"الله يسعدك","positive"
"الله يسهل","positive"
"الله يصلح","positive"
"الله يطمن","positive"
"الله يفرج","positive"
"الله يكثر","positive"
"الله ينفع","positive"
"الله يهديكم","positive"
"الله يهنيكم","positive"
"الله يوفق","positive"
"الله يوفقك","positive"
"الله يوفقه","positive"
"الله يوفقهم","positive"
"اللهم احفظ","positive"
"اللهم ارزق","positive"
"اللهم انفع","positive"
"اللهم سدده","positive"
"اللهم لك الحمد","positive"
"اللهم وفق","positive"
"اللهم وفقه","positive"
"اللهم وفقهم","positive"
"السمع والطاعه","positive"
"الحمد والشكر","positive"
"احمد ربك","positive"
"ينفع بك","positive"
"ينفع بهم","positive"
"رد الجميل","positive"
"اؤيد","positive"
"ابارك","positive"
"ابداعات","positive"
"ابدعت","positive"
"ابرك","positive"
"ابسط","positive"
"ابشر","positive"
"ابشركم","positive"
"ابشروا","positive"
"ابشري","positive"
"اتقبل","positive"
"اجزهم","positive"
"اجمل","positive"
"اجملهم","positive"
"احب","positive"
"احببناك","positive"
"احبك","positive"
"احبكم","positive"
"احبه","positive"
"احتفالا","positive"
"احتفل","positive"
"احسن","positive"
"احفظ","positive"
"احفظنا","positive"
"احلا","positive"
"احلى","positive"
"احمد","positive"
"احمدو","positive"
"احمدوا","positive"
"اخويه","positive"
"ادم","positive"
"ارتحت","positive"
"ارحب","positive"
"ارحبي","positive"
"ارحتم","positive"
"ارحتنا","positive"
"ارحم","positive"
"ارخص","positive"
"ارخصها","positive"
"ارزقه","positive"
"ارضهم","positive"
"ارفع","positive"
"ارفعوا","positive"
