"V1","V2"
"اعوذ بالله","negative"
"الشكوى لله","negative"
"الله ياخذكم","negative"
"الله ياخذهم","negative"
"الله يستر","negative"
"حسبنا الله","negative"
"حسبي الله","negative"
"حسبي الله عليك","negative"
"حسبي الله ونعم الوكيل","negative"
"غير صحيح","negative"
"غير مقبول","negative"
"قله ادب","negative"
"قليل ادب","negative"
"قليل الادب","negative"
"لا يستحق","negative"
"لا يكثر","negative"
"لا يليق","negative"
"لعنه الله","negative"
"ما احب","negative"
"ياحسرتي","negative"
"ياخوفي","negative"
"ياكسر","negative"
"ياكلاب","negative"
"ابن التراب","negative"
"ابن الحرام","negative"
"ابن الكلب","negative"
"ابن كلب","negative"
"ابنا المتعه","negative"
"ابو صياح","negative"
"ابو كلب","negative"
"ابو هيط","negative"
"اتقو االله","negative"
"اتلف اعصابهم","negative"
"اخضع ي وضيع","negative"
"استمرو بصياحكم","negative"
"اشباه رجال","negative"
"اضعف من الضعيف","negative"
"اعصابي تلفت","negative"
"اعلاميي الغفله","negative"
"اقل من عادي","negative"
"اكبر غلطه","negative"
"اكلت تراب","negative"
"الاعمى يشوفها","negative"
"التبطح للفقر","negative"
"التراب اكلناه","negative"
"الثقه الزايده","negative"
"الحكام ضدنا","negative"
"الحمار حمار","negative"
"الخدم انشخلوا","negative"
"الدفع الخلفي","negative"
"الدفع الرباعي","negative"
"الدفع الملكي","negative"
"الدفع التحكيمي","negative"
"الرعب للحكام","negative"
"السلبي جدا","negative"
"الصوص الاصفر","negative"
"الضغط النفسي","negative"
"الطحالب تتصفق","negative"
"الطمع شين","negative"
"الغير شرعيه","negative"
"الغير عادل","negative"
"الغير محتسب","negative"
"القم ياخدم","negative"
"الله حسيبك","negative"
"الله حسيبكم","negative"
"الله لايبلانا","negative"
"الله لايحطني","negative"
"الله لايرده","negative"
"الله لايسامح","negative"
"الله لايسامحك","negative"
"الله لايلوم","negative"
"الله لايوفق","negative"
"الله لايوفقك","negative"
"الله لايوفقه","negative"
"الله ياخذ","negative"
"الله ياخذ عمرك","negative"
"الله ياخذك","negative"
"الله ياخذه","negative"
"الله يبعدك","negative"
"الله يحوك كبدك","negative"
"الله يشل","negative"
"الله يشيلك","negative"
"الله يعمي","negative"
"الله يعمي عينك","negative"
"الله يقلع","negative"
"الله يلعن","negative"
"الله يلعنك","negative"
"الله يلعنهم","negative"
"الله ينتقم","negative"
"اللهم انتقم","negative"
"اللهم عليك","negative"
"اللهم كما حرم","negative"
"اللهم لا شماته","negative"
"انبطاح الخدم","negative"
"انبطاح الخدم للفقر","negative"
"اين العداله","negative"
"بتطير الصداره","negative"
"بدري عليك","negative"
"بدون تركيز","negative"
"بدون تنظيم","negative"
"بدون خجل","negative"
"بدون ضمير","negative"
"بدون فائده","negative"
"بدون نفس","negative"
"بدون هويه","negative"
"بدونه افضل","negative"
"بفلسفته نخطرا","negative"
"بقله الادب","negative"
"بلا فائده","negative"
"بلا هويه","negative"
"تحت الضغط","negative"
"تحيب الجلطه","negative"
"تخلى الحكم عن امانته","negative"
"جاكم الموت","negative"
"ثقه زايده","negative"
"جاب العيد","negative"
"جلاد الطحالب","negative"
"جلد الطحالب","negative"
"جن جنونه","negative"
"حامت كبدي","negative"
"حسبي الله على من تركه","negative"
"حسبي الله عليكم","negative"
"حسبي الله عليه","negative"
"حسبي الله عليهم","negative"
"حسبي الله فيك","negative"
"حسبي الله ونعم وكيل","negative"
"حسبي على","negative"
"حسبي عليك","negative"
"حسبي عليه","negative"
"حومه الكبد","negative"
"حيوانات بشريه","negative"
"خرى عليكم","negative"
"خساره بخسارته","negative"
"خسر السكري","negative"
"خيبه امل","negative"
"دافه التحكيم","negative"
"دبل ضايع","negative"
"دبلت تسبد","negative"
"دفع رباعي","negative"
"دفع سداسي","negative"
"دهور الهلال","negative"
"دوري الصعود","negative"
"راحت علينا","negative"
"راحوا فيها","negative"
"رافع ضغطي","negative"
"رحمه الله","negative"
"ردات الحظ","negative"
"رغم انفك","negative"
"رفع ضغطي","negative"
"ريحتكم فاحت","negative"
"زي الخرفان","negative"
"زيد الصبر عندك","negative"
"سالت دمائهم","negative"
"سكر القصيم","negative"
"سلبت حقوقهم","negative"
"سود الله","negative"
"سود الله وجه التحكيم","negative"
"سي جدا","negative"
"سيئ جدا","negative"
"سيئه جدا","negative"
"شاف نفسه","negative"
"شافوا انفسهم","negative"
"شقيناكم شق","negative"
"صغار الرياض","negative"
"صعبه جدا","negative"
"صغير الرياض","negative"
"صغير جده","negative"
"صياح الخدم","negative"
"ضاق صدري","negative"
"ضجيج مزعج","negative"
"ضد الحكم","negative"
"ضيع فرص","negative"
"ضيع لنا","negative"
"طاح من عيني","negative"
"عدم احترام","negative"
"عدم احتساب","negative"
"عدم العدل","negative"
"عدم اهتمامه","negative"
"عدم تركيز","negative"
"عديم الفايده","negative"
"عذر اقبح من ذنب","negative"
"عقليته ماتتحرك","negative"
"عقولهم صغيره","negative"
"على تبن","negative"
"غاسل يدي","negative"
"غبيه جدا","negative"
"غسلت ايدي","negative"
"غش اهم خلال","negative"
"غير اخلاقيه","negative"
"غير الشريفه","negative"
"غير شرعي","negative"
"غير شرعيه","negative"
"غير شريف","negative"
"غير شريفه","negative"
"غير صحيحه","negative"
"غير عادل","negative"
"غير عادله","negative"
"غير كفو","negative"
"غير مبرر","negative"
"غير مبرره","negative"
"غير متداخل","negative"
"غير متفائل","negative"
"غير محتسب","negative"
"غير محتسبه","negative"
"غير مستحق","negative"
"غير مستحقه","negative"
"غير معترفبها","negative"
"غير مقنع","negative"
"غير مهمه","negative"
"فريق تحكيم","negative"
"قرصه اذن","negative"
"قلب الوقائع","negative"
"قله حيا","negative"
"قله فهم","negative"
"قليلين الادب","negative"
"كسر خاطري","negative"
"لا تثق","negative"
"لا تحترم هويتنا","negative"
"لا تدخل","negative"
"لا تسلكون","negative"
"لا تشجع","negative"
"لا تظلمون","negative"
"لا تعبروه","negative"
"لا تغتفر","negative"
"لا تغركم","negative"
"لا تفرح","negative"
"لا تليق","negative"
"لا حول ولاقوه","negative"
"لا سيتحق","negative"
"لا لانبطاحيه","negative"
"لا مبالاه","negative"
"لا مستوى","negative"
"لا نستطيع","negative"
"لا وفقك","negative"
"لا يجيد","negative"
"لا يحترم","negative"
"لا يحترمون","negative"
"لا يحتسب","negative"
"لا يحسب","negative"
"لا يحللك","negative"
"لا يحييك","negative"
"لا يخدمون","negative"
"لا يرده","negative"
"لا يساعد","negative"
"لا يسامح","negative"
"لا يسامحك","negative"
"لا يستحقه","negative"
"لا يستحقها","negative"
"لا يستفيد","negative"
"لا يسمون","negative"
"لا يسوا","negative"
"لا يعاقب","negative"
"لا يعمينا","negative"
"لا يفقه","negative"
"لا يناسب","negative"
"لا ينتصر","negative"
"لا ينتصرون","negative"
"لا ينجح","negative"
"لا يواكب","negative"
"لا يوفق","negative"
"لا يوفقك","negative"
"لا يوفقه","negative"
"لا يوفقهم","negative"
"لا يوفقو","negative"
"لا يوقكم","negative"
"لا ييسر","negative"
"لابارك","negative"
"لابارك الله","negative"
"لاحياه","negative"
"لارضا","negative"
"لازم يتغير","negative"
"كيري ميري","negative"
"لسكري القصيم","negative"
"لعن ابوكم","negative"
"لعن الله","negative"
"لعنه الله عليك","negative"
"لقله الادب","negative"
"للدفع الرباعي","negative"
"لم تحتسب","negative"
"لم تحتسب تسلل","negative"
"لم تستحي","negative"
"لم تنجح","negative"
"لم يحترم","negative"
"لم يحترمو","negative"
"لم يحتسب","negative"
"لم يحرك","negative"
"لم يحسبه","negative"
"لم يكن في وضعه","negative"
"لم يكن موفق","negative"
"لم يوفق","negative"
"لن يفيد","negative"
"لن ينجو","negative"
"لو التحكيم عادل","negative"
"لو عندها دم","negative"
"ليس كفؤا","negative"
"ليس من العداله","negative"
"م يتعلم","negative"
"ما احترمت","negative"
"ما احتسب","negative"
"ما افلحو","negative"
"ما الوجه","negative"
"ما انحسب","negative"
"ما تترقع","negative"
"ما تحب","negative"
"ما تحترم","negative"
"ما تحتسب","negative"
"ما تربح","negative"
"ما تسذب","negative"
"ما تشم الدوري","negative"
"ما تشمه","negative"
"ما تفيد","negative"
"ماتوفق","negative"
"ماحبيته","negative"
"ماخليه","negative"
"ماراح ياخذ","negative"
