empty,3, تنفيذ_القصاص_علي_47_ارهابي نمر النمر انما جزاا الذين يحاربون الله ورسوله ويسعون في الارض فسادا ان يقتلوا او يصلبوا او تقطع ايديهم <U+270B>,محايد,سلبي
M672124590630436864,9, 2 موقف العلماا من عاصفه_الحزم تغريدات د عوض القرني في وسم جيشنا_يصنع_التاريخ اغظ الاعدااب RT رجال_الحد_الجنوبي ,إيجابي,محايد
M672097550841880576,1, ابشر بعززك يا وطنا حنا خدمك وقت الهوايل هذي جنودك الوفيا شامخه باسمك عوايل رجال_الحد_الجنوبي عاصفه_الحزم ,لا يمكن تحديده,إيجابي
M672119673136263168,12, ابطال الراجمات اللهم اجعلها تصيب وتهلك الحوثي واعوانه رجال_الحد_الجنوبي نجران_الان جيزان_الان ,إيجابي,كلاهما
M672103878024937472,6, ابطال الراجمات اللهم اجعلها تصيب وتهلك رجال_الحد_الجنوبي الحدود_السعوديه_نار_تشوي_الحوثي ,إيجابي,كلاهما
M672119688034451456,1, ابكيك ياصاحبي وابكي فراقك وغيري يبكي فرصه هدف ولا بطوله رجال_الحد_الجنوبي رجال_الامن رجال_الطواري ,إيجابي,لا يمكن تحديده
M672080113484345344,3, احد اللحظات السابقه ردع المعتدين من قبل رجال_الحد_الجنوبي الربوعه ,إيجابي,لا يمكن تحديده
M672080240785649664,2, احد مهمات القنص من رجال_الحد_الجنوبي الربوعه نجران_الان ,إيجابي,محايد
M672075208363233280,964, اخاف ادنق و اخذ ب خاطر الجرح و يصي ب ساق المملكه ج رح ث اني رجال_الحد_الجنوبي استودعناكم الله ,إيجابي,لا يمكن تحديده
M672107353374892032,52, اخاف ادنق و اخذ ب خاطر الجرح و يصيب ساق المملكه جرح ثاني رجال_الحد_الجنوبي جيشنا_يصنع_التاريخ ,إيجابي,لا يمكن تحديده
M672099235588923392,93, اخاف ادنق و اخذ ب خاطر الجرح ويصيب ساق المملكه جرح ثاني رجال_الحد_الجنوبي من اجمل ما قرات السعوديه رجال_الامن ,إيجابي,لا يمكن تحديده
M672138263675731968,21, اخاف ادنق واخذ ب خاطر الجرح واصيب ساق المملكه جرح ثاني رجال_الحد_الجنوبي الحد_الجنوبي الجنوب ,إيجابي,لا يمكن تحديده
M672162133161963520,1, اخاف ادنق واعالج موقع الجرح ويصيب ساق المملكه جرح ثاني السعوديه رجال_الحد_الجنوبي اليوم_الوطني44 ,إيجابي,لا يمكن تحديده
M672096107493769216,1, اخوانك في حاجتك لردع العدو انظم اليهم واعط من وقتك القليل لخدمه دينك ووطنك في حمله_جيش_سبام_الدواعش رجال_الحد_الجنوبي,إيجابي,لا يمكن تحديده
