M671414141698113536,1, اكثر المباريات حضور هذا الموسم في الرياض الهلال و الرائد في جده الهلال و الاتحاد في القصيم الهلال_التعاون ال ,neut,
M671408544156131328,1, اكشن يادوري تقرير قبل مباراه الهلال والتعاون في دور السته عشره في كاس ولي العهد الهلال_التع ,neut,
M671411366926934016,1, الاتحاد السعودي لرعايه الهلال الهلال_التعاون,neut,
M671408892497276928,7, الاهلي النصر الاتحاد الهلال_التعاون الشباب مايحصل للهلال امام الفرق بحكم محلي هل هي ,neut,
M671411386065526784,30, التعاون 0 1 الهلال ملخص الشوط الاول اميره_الهلاليه الهلال_التعاون ,neut,
M671408812016934912,2, الجماهيرالهلاليه خارج الملعب الهلال_التعاون ,neut,
M671410299220697088,3, الحالتين الجدليه في مباراه الهلال والتعاون في كاس ولي العهد مع سعد كميل الهلال_التعاون ,neut,
M671408767754465280,2, الحكم سعد كميل ركله جزاا لم تحتسب للتعاون د 68 بعد مسك من مدافع الهلال للمهاجم الهلال_التعاون ,neut,
M671408782157697024,15, الحكم سعد كميل ضربه جزاا الهلال د 17 صحيحه الغاا هدف التعاون بداعي التسلل لمشاركه اللاعب المتسلل مع المسجل الهلال_التعا ,neut,
M671408367634632704,3, الحكم سعد كميل لاتوجد ضربه جزاا على ديغاو في الوقت بدل الضائع الهلال_التعاون,neut,
M671408826130808832,6, الحين مباراه الهلال والتعاون وش سبب تاجيلها الهلال_التعاون,neut,
M671412624211488768,27, الدولي كميل هدف التعاون تسلل صريح الهلال_التعاون الرياضيه كاس_ولي_العهد ,neut,
M671412851639230464,66, الليله اكشن_يا_دوري مع وليد_الفراج وضيوفه الخبير الرياضي محمد المسحل والناقد بدر السعيد جوال HD ,neut,
M671413204828987392,3, المباراه بين الهلال_التعاون و الا الهلال و النصر ,neut,
M671410362135244800,1, المحلل التحكيمي سعد كميل تدخل ديقاو على جهاد الحسين لا يوجد في ركله جزاا الهلال_التعاون,neut,
M671410266853285888,1, المحلل التحكيمي سعد كميل ركله جزاا الهلال صحيحه الهلال_التعاون,neut,
M671408412425613312,2, المحلل التحكيمي سعد كميل ضربه جزاا الهلال صحيحه لاتوجد ضربه جزاا للتعاون في الدقيق39 لاتوجد ضربه جزاا للتعاون في الدقيقه9 ,neut,
M671409366445203456,16, المحلل التحكيمي سعد كميل هدف التعاون الملغي تسلل ضربه جزاا الهلال صحيحه احتكاك البريك مع ايفولو سليم ,neut,
M671410199169777664,1, المحلل التحكيمي لبرو سبورت قرار الحكم للتسلل صحيح والهدف غير قانوني الهلال_التعاون,neut,
M671408343408316416,48, المساعد يطلب منح ديقاو كرت والحكم لايفعل انفراد صحيح يحسب تسلل ضربتي جزاا للتعاون لاتحتسب ,neut,
M671408336236072960,257, المعلق فارس عوض مستغرب لماذا الالغاا الهلال_التعاون ,neut,
M671408541681500160,6, المييدااااااا رججججججعععع بدر_الحمد الهلال_التعاون ,neut,
M671409601187848192,11, الهلال amp التعاون دور ال 16 لكاس ولي العهد 2015 2016 الاهداف التصاريح الهلال_التعاو ,neut,
