"V1","V2"
"اباده","negative"
"ابتليه","negative"
"ابشع","negative"
"ابكيك","negative"
"ابن المتعه","negative"
"ابواق ايران","negative"
"أبواق ايران","negative"
"اتهام","negative"
"اتهامات","negative"
"اثم","negative"
"اثمه","negative"
"اجبن","negative"
"اجتياح","negative"
"اجحش","negative"
"اجرام","negative"
"اجرامهم","negative"
"إجرامي","negative"
"احباط","negative"
"احتجاجا","negative"
"احتجاجات","negative"
"احتقارنا","negative"
"احثوا","negative"
"احذيه","negative"
"احراق","negative"
"احرقهم الله","negative"
"احشره","negative"
"احصر","negative"
"احقر","negative"
"احكام خبيثة","negative"
"احمق","negative"
"اختطاف","negative"
"اختطف","negative"
"اخجلوا","negative"
"اخذل","negative"
"اخرسهم","negative"
"اخزاه الله","negative"
"اخزاهم الله","negative"
"اخزى الله","negative"
"اخس","negative"
"اخسئوا","negative"
"اخساا","negative"
"اخسو","negative"
"اخطر","negative"
"اخوانيه","negative"
"اخونجية","negative"
"إدانات","negative"
"ادعو عليهم","negative"
"إذكاء الفتن","negative"
"اذل","negative"
"اذلال","negative"
"اذلاله","negative"
"اذله","negative"
"اذناب","negative"
"أذناب","negative"
"اذناب إيران","negative"
"اذنابها","negative"
"اذنابهم","negative"
"اذيته","negative"
"اذيتهم","negative"
"أذيتهم","negative"
"ارحمو","negative"
"ارذل","negative"
"ارعبت","negative"
"ارعبهم","negative"
"ارهاب","negative"
"إرهاب","negative"
"ارهابي","negative"
"إرهابي","negative"
"إرهابيا","negative"
"ارهابية","negative"
"ارهابيه","negative"
"ارهابيون","negative"
"ارهابيي","negative"
"ارهابيين","negative"
"إرهابيين","negative"
"ازعجتونا","negative"
"ازمه","negative"
"ازيح","negative"
"اساء","negative"
"اساءته","negative"
"اساءتها","negative"
"اساؤوا","negative"
"اساا","negative"
"اسااتها","negative"
"استباح","negative"
"استباحة الدماء","negative"
"استبداد","negative"
"استخفاف","negative"
"استعبدونا","negative"
"استغرب","negative"
"استنكار","negative"
"استنكارا","negative"
"استنكارات","negative"
"استنكارية","negative"
"استهتار","negative"
"استهزا","negative"
"استهزاء","negative"
"استهزاا","negative"
"اسرئيل","negative"
"اسرائيل","negative"
"إسرائيل","negative"
"اسفا","negative"
"اسقاط","negative"
"اسقاط العروش","negative"
"اسوا","negative"
"اسوأ","negative"
"اسود","negative"
"اشاعات","negative"
"اشاعه","negative"
"إشاعه","negative"
"إشاعة","negative"
"اشباه الرجال","negative"
"اشد","negative"
"اشدها","negative"
"اشعال","negative"
"إشعال","negative"
"اشغلهم","negative"
"اشنع","negative"
"اصلب","negative"
"اضاع","negative"
"اضرب","negative"
"اضعف","negative"
"اعتدى","negative"
"اعتيالها","negative"
"اعداء","negative"
"أعداء","negative"
"اعدائنا","negative"
"اعداا","negative"
"اعدام","negative"
"اعدمت","negative"
"اعقب","negative"
"اعمق","negative"
"اعنف","negative"
"اعوذ بالله","negative"
"اغاض","negative"
"اغبى","negative"
"اغبياء","negative"
"أغبياء","negative"
"اغبياا","negative"
"اغتال","negative"
"اغتصاب","negative"
"اغتصبك","negative"
"اغتيال","negative"
"اغتيالها","negative"
"اغضبتنا","negative"
"اغفال","negative"
"افتراء","negative"
"افتراا","negative"
"افترو","negative"
"افتروا","negative"
"افتك","negative"
"افجر","negative"
"أفجر","negative"
"افسادها","negative"
"افسد","negative"
"افشل","negative"
"افضح","negative"
"افظع","negative"
"أفعى","negative"
"اقتلهم","negative"
"اقذر","negative"
"اكتووا","negative"
"اكره","negative"
"اكرهكم","negative"
"ال سلول","negative"
"الابله","negative"
"الأبله","negative"
"الاثمه","negative"
"الاجرام","negative"
"الاجرامية","negative"
"الاحتجاج","negative"
"الاحزان","negative"
"الاحمق","negative"
"الاخرق","negative"
"الاخوانجية","negative"
"الاخونجي","negative"
"الاذناب","negative"
"الارام","negative"
"الارهاب","negative"
"الإرهاب","negative"
"الارهابي","negative"
"الإرهابي","negative"
"الإرهابية","negative"
"الارهابين","negative"
"الارهابيه","negative"
"الارهابيين","negative"
"الإرهابيين","negative"
"الاساءات","negative"
"الاساءة","negative"
"الإساءة","negative"
"الاساءه","negative"
"الاسائه","negative"
"الاسااه","negative"
"الاستحمار","negative"
"الاستخراا","negative"
"الاستغباا","negative"
"الاستغراب","negative"
"الاستيطان","negative"
"الاسرائيلي","negative"
"الإسرائيلي","negative"
"الاشاعات","negative"
"الاشمئزاز","negative"
"الاضراب","negative"
"الاعتداا","negative"
"الاعتداات","negative"
"الاعداا","negative"
"الاعدام","negative"
"الاعيب","negative"
"الاغبيا","negative"
"الاغبياء","negative"
"الاغبياا","negative"
"الافاك","negative"
"الافتراء","negative"
"الافتراا","negative"
"الافعى","negative"
"الأفعى","negative"
"الاقزام","negative"
"الأقزام","negative"
"الالم","negative"
"الألم","negative"
"الام","negative"
"الامعه","negative"
"الأمعه","negative"
"الانبطاح","negative"
"الانتحاريه","negative"
"الانتقادات","negative"
"الانتقام","negative"
"الانتهاكات","negative"
"الانجاس","negative"
"الانكسارات","negative"
"البائد","negative"
"البائس","negative"
"الباطله","negative"
"الباغيه","negative"
"البرد","negative"
"البرمكي","negative"
"البشعه","negative"
"البصقة","negative"
"البغال","negative"
"البغضاء","negative"
"البغيض","negative"
"البغيضة","negative"
"البغيضه","negative"
"البغيظ","negative"
"البقرات","negative"
"البقرة","negative"
"البقره","negative"
"البلاا","negative"
"البلهاء","negative"
"البهائم","negative"
"البهايم","negative"
"البومه","negative"
"التافه","negative"
"التباكي","negative"
"التجويع","negative"
"التحريض","negative"
"التخاذل","negative"
"التخريب","negative"
"التخلف","negative"
"التخوين","negative"
"التدليس","negative"
"التراب","negative"
"التسكع","negative"
"التسلاب","negative"
"التشكيك","negative"
"التشويش","negative"
"التضليل","negative"
"التطرف","negative"
"التعدي","negative"
"التعذيب","negative"
"التعسفي","negative"
"التغريب","negative"
"التغريبي","negative"
"التكفيري","negative"
"التهديد","negative"
"التهديدات","negative"
"التهريج","negative"
"التهم","negative"
"التوتر","negative"
"التيس","negative"
"الثائر","negative"
"الثار","negative"
"الثغاء","negative"
"الثور","negative"
"الثوره","negative"
"الجائر","negative"
"الجاهل","negative"
"الجبناء","negative"
"الجبناا","negative"
"الجثث","negative"
"الجحود","negative"
"الجحيم","negative"
"الجرائم","negative"
"الجرحى","negative"
"الجرذان","negative"
"الجريمة","negative"
"الجريمه","negative"
"الجهل","negative"
"الجهله","negative"
"الجوع","negative"
"الحاقد","negative"
"الحثالات","negative"
"الحثاله","negative"
"الحجاب","negative"
"الحرام","negative"
"الحرب","negative"
"الحزن","negative"
"الحشاشين","negative"
"الحشرة","negative"
"الحشره","negative"
"الحصار","negative"
"الحصني","negative"
"الحقاره","negative"
"الحقد","negative"
"الحقراا","negative"
"الحقير","negative"
"الحقيرة","negative"
"الحقيره","negative"
"الحمار","negative"
"الحماقة","negative"
"الحماقه","negative"
"الحمقاا","negative"
"الحمقى","negative"
"الحمير","negative"
"الحمير ","negative"
"الحوثي","negative"
"الحيوان","negative"
"الحيوانات","negative"
"الخائن","negative"
"الخاسرين","negative"
"الخاويه","negative"
"الخايس","negative"
"الخاين","negative"
"الخبث","negative"
"الخبل","negative"
"الخبيث","negative"
"الخبيثة","negative"
"الخبيثه","negative"
"الخديعة","negative"
"الخديعه","negative"
"الخذلان","negative"
"الخراب","negative"
"الخرفان","negative"
"الخروف","negative"
"الخزي","negative"
"الخساره","negative"
"الخسه","negative"
"الخسيس","negative"
"الخسيسي","negative"
"الخصومه","negative"
"الخطير","negative"
"الخلا","negative"
"الخمه","negative"
"الخميني","negative"
"الخنازير","negative"
"الخنزير","negative"
"الخوارج","negative"
"الخور","negative"
"الخوف","negative"
"الخول","negative"
"الخونة","negative"
"الخونه","negative"
"الخيانة","negative"
"الخيانه","negative"
"الداشر","negative"
"الداعشي","negative"
"الداكن","negative"
"الداميه","negative"
"الدجل","negative"
"الدخلاء","negative"
"الدخلاا","negative"
"الدرعمة","negative"
"الدرعمه","negative"
"الدعاا عليهم","negative"
"الدعارة","negative"
"الدعاره","negative"
"الدعس","negative"
"الدلخي","negative"
"الدماا","negative"
"الدمار","negative"
"الدموي","negative"
"الدمويه","negative"
"الدنائه","negative"
"الدنااه","negative"
"الدواعش","negative"
"الدواعش","negative"
"الدونيه","negative"
"الذباب","negative"
"الذبح","negative"
"الذل","negative"
"الذنب","negative"
"الرافضه","negative"
"الرافضي","negative"
"الرخوم","negative"
"الرخيص","negative"
"الردي","negative"
"الرذيله","negative"
"الرزجيه","negative"
"الرعاع","negative"
"الرعب","negative"
"الرفض","negative"
"الزائفه","negative"
"الزبالة","negative"
"الزباله","negative"
"الزله","negative"
"الزنا","negative"
"الزنادقه","negative"
"الزنديق","negative"
"الزوال","negative"
"الزيطه","negative"
"السافل","negative"
"الساكت","negative"
"السجن","negative"
"السخف","negative"
"السخيفة","negative"
"السذج","negative"
"السرطان","negative"
"السطحيه","negative"
"السفاح","negative"
"السفهاا","negative"
"السفيه","negative"
"السموم","negative"
"الشبه","negative"
"الشبهه","negative"
"الشبيحه","negative"
"الشر","negative"
"الشرذمه","negative"
"الشرك","negative"
"الشرير","negative"
"الشرين","negative"
"الشقاق","negative"
"الشكوى","negative"
"الشكوى لله","negative"
"الشنعاا","negative"
"الشيطان","negative"
"الشيطاني","negative"
"الصحوه","negative"
"الصدمه","negative"
"الصراخ","negative"
"الصعلوك","negative"
"الصفوي","negative"
"الصفويين","negative"
"الصليبيين","negative"
"الصمه","negative"
"الصهاينة","negative"
"الصهاينه","negative"
"الصهيوني","negative"
"الصهيونية","negative"
"الصهيونيه","negative"
"الضال","negative"
"الضاله","negative"
"الضحيه","negative"
"الضر","negative"
"الضرر","negative"
"الضعف","negative"
"الضعفه","negative"
"الضعه","negative"
"الضعيف","negative"
"الضلال","negative"
"الضلاله","negative"
"الطائفي","negative"
"الطائفية","negative"
"الطائفيه","negative"
"الطاعنين","negative"
"الطاغوت","negative"
"الطاغيه","negative"
"الطالمين","negative"
"الطعن","negative"
"الطعن الاسااه","negative"
"الطغاة","negative"
"الطغاه","negative"
"الطفيليين","negative"
"الظالم","negative"
"الظالمون","negative"
"الظالمين","negative"
"الظلم","negative"
"العاجز","negative"
"العار","negative"
"العاهره","negative"
"العبث","negative"
"العبريه","negative"
"العبوديه","negative"
"العداا","negative"
"العداوات","negative"
"العدو","negative"
"العدوان","negative"
"العصابة","negative"
"العفن","negative"
"العفنه","negative"
"العقاب","negative"
"العمليل","negative"
"العن","negative"
"ألعن","negative"
"العنز","negative"
"العنف","negative"
"العنه","negative"
"العهر","negative"
"العويل","negative"
"الغادر","negative"
"الغاشم","negative"
"الغاصبين","negative"
"الغاضبه","negative"
"الغباء","negative"
"الغباا","negative"
"الغبي","negative"
"الغثيان","negative"
"الغدر","negative"
"الغريب","negative"
"الغزو","negative"
"الغضب","negative"
"الغفله","negative"
"الغلو","negative"
"الغوغا","negative"
"الفاجر","negative"
"الفار","negative"
"الفاسد","negative"
"الفاسق","negative"
"الفاشل","negative"
"الفاشله","negative"
"الفبركات","negative"
"الفتن","negative"
"الفتنة","negative"
"الفتنه","negative"
