"V1","V2"
"مااتنفع","negative"
"مااحبها","negative"
"مااقدر","negative"
"مابرجع","negative"
"مابيح","negative"
"ماتربحون","negative"
"ماتردون","negative"
"ماتستاهل","negative"
"ماتستحقون","negative"
"ماتسرقونا","negative"
"ماتشتغل","negative"
"ماتشحن","negative"
"ماتفتح","negative"
"ماحبكم","negative"
"مافاد","negative"
"مانفتح","negative"
"مانفذوا","negative"
"مايساعد","negative"
"مايسوى","negative"
"مايشتغل","negative"
"مايصحش","negative"
"مايعرفو","negative"
"مايغضب","negative"
"مايفتح","negative"
"ماينسكت","negative"
"ماينفعون","negative"
"مايهمهم","negative"
"مايوصلني","negative"
"اعوذ بالله","negative"
"الله ياخذكم","negative"
"الله يسلط","negative"
"حسبنا الله","negative"
"حسبي الله","negative"
"لا يستحق","negative"
"ياويلكم","negative"
"الله ياخذ","negative"
"الله يلعن","negative"
"اللهم عليك","negative"
"سود الله","negative"
"غير عادله","negative"
"لابارك","negative"
"لاحياه","negative"
"مايستاهل","negative"
"ابوكلب","negative"
"ابوكلبي","negative"
"اعوذ بالله","negative"
"الله يحرقكم","negative"
"الله يحرقها","negative"
"الله يصبرني","negative"
"الله يغرق","negative"
"الله يلعنكم","negative"
"بلاخدمه","negative"
"حسبنا لله","negative"
"حسبنى الله","negative"
"حسبونا الله","negative"
"حسبي عليكم","negative"
"حسيبك الله","negative"
"غير عادله","negative"
"غير نشيطه","negative"
"لاتتجاوب","negative"
"لاتتعب","negative"
"لاتجرحون","negative"
"لاتدعم","negative"
"لاتذكر","negative"
"لاترقى","negative"
"لاترى","negative"
"لاتستحق","negative"
"لاتستغلون","negative"
"لاتسرقونا","negative"
"لاتسمع","negative"
"لاتشفطون","negative"
"لاتمثل","negative"
"لاتمثلنا","negative"
"لاتناسب","negative"
"لاتوفق","negative"
"لاجديد","negative"
"لاحسيب","negative"
"لارقيب","negative"
"لاقيم","negative"
"لامخازي","negative"
"لانرى","negative"
"لاوفقهم","negative"
"لايبارك","negative"
"لايبيحكم","negative"
"لايجوز","negative"
"لايحللكم","negative"
"لايحللهم","negative"
"لايربحهم","negative"
"لايرزقهم","negative"
"لايسامحكم","negative"
"لا يسامحهم","negative"
"لايعجزونك","negative"
"لايوفقكم","negative"
"لايوفقهم","negative"
"ماسحبوا","negative"
"ولاحرج","negative"
"ولاحلل","negative"
"ولافيه","negative"
"ولاهمهم","negative"
"ولايسامحكم","negative"
"ياحراميه","negative"
"ياتسلاب","negative"
"يارخيص","negative"
"ياطبول","negative"
"يالبون","negative"
"اتعس","negative"
"اتفه","negative"
"احتكار","negative"
"احسن","negative"
"احقر","negative"
"اخاف","negative"
"اخطا","negative"
"اخطر","negative"
"ادهى","negative"
"ارتفاع","negative"
"ارتفع","negative"
"ارتقوا","negative"
"ارحمونا","negative"
"ارهاب","negative"
"ارهابي","negative"
"ارهابيين","negative"
"ازعاج","negative"
"ازعجتونا","negative"
"ازفت","negative"
"استخفاف","negative"
"استغلال","negative"
"استنزاف","negative"
"استيا","negative"
"اسوا","negative"
"اشغلتونا","negative"
"اصعب","negative"
"اعوذ","negative"
"اغلاق","negative"
"خيانه","negative"
"افساد","negative"
"افسدت","negative"
"افشل","negative"
"اقبح","negative"
"اقل","negative"
"اكذب","negative"
"اكره","negative"
"الاباحيه","negative"
"الاحباط","negative"
"الاحمق","negative"
"الارهاب","negative"
"الارهابي","negative"
"الاستغلال","negative"
"الاستهتار","negative"
"الاسوا","negative"
"الاعدا","negative"
"الاغبيا","negative"
"الافساد","negative"
"الانحراف","negative"
"الانحطاط","negative"
"الانسلاخ","negative"
"الباطل","negative"
"البايخه","negative"
"البلا","negative"
"التافه","negative"
"التبرج","negative"
"التخلف","negative"
"التدليس","negative"
"التذمر","negative"
"التطرف","negative"
"التعاسه","negative"
"التفاهات","negative"
"التلاعب","negative"
"الجحيم","negative"
"الجريمه","negative"
"الحرام","negative"
"الحرامي","negative"
"الحراميه","negative"
"الحقير","negative"
"الحمقى","negative"
"الخايس","negative"
"الخايسه","negative"
"الخبائث","negative"
"الخبث","negative"
"الخبيثه","negative"
"الخرى","negative"
"الخسائر","negative"
"الخطا","negative"
