"V1","V2"
"يالبيه","positive"
"ي زين","positive"
"ي زينه","positive"
"مو ضعيف","positive"
"ما تحملون","positive"
"ما شاالله","positive"
"ما عطتهم","positive"
"مافي اسرع","positive"
"ليس ضعيف","positive"
"لله الحمد","positive"
"لا تاحتي","positive"
"لا تعمم","positive"
"لا ضعيف","positive"
"زي اللوز","positive"
"ترفع الراس","positive"
"الله يرحم","positive"
"يا حبي","positive"
"يا زينها","positive"
"يالبيه","positive"
"ماقصرت","positive"
"لا باس","positive"
"بيض الله","positive"
"الله يحفظ","positive"
"يملك خبره","positive"
"اجمل","positive"
"احب","positive"
"احبكم","positive"
"احسن","positive"
"احلى","positive"
"احمد","positive"
"احمدو","positive"
"اروع","positive"
"اسرع","positive"
"اشكر","positive"
"اطلق","positive"
"افضل","positive"
"الإخلاص","positive"
"الافضل","positive"
"التوفيق","positive"
"الجمال","positive"
"الجميله","positive"
"الحلوه","positive"
"الحمدلله","positive"
"الخير","positive"
"الرائعه","positive"
"السعاده","positive"
"الشكر","positive"
"الفرحه","positive"
"المتعه","positive"
"انجح","positive"
"اهم","positive"
"الفخر","positive"
"بطل","positive"
"يزيد","positive"
"تاج","positive"
"تحسين","positive"
"تحيه","positive"
"تعاون","positive"
"تمام","positive"
"جباره","positive"
"جميل","positive"
"جيد","positive"
"حظ","positive"
"حلو","positive"
"حلوه","positive"
"حمدلله","positive"
"خير","positive"
"ذكي","positive"
"رائع","positive"
"رائعه","positive"
"رخيصه","positive"
"روعه","positive"
"زين","positive"
"سرعه","positive"
"شكر","positive"
"شكرا","positive"
"صاروخ","positive"
"صحيح","positive"
"فخر","positive"
"فرحه","positive"
"فرصه","positive"
"كبير","positive"
"كويس","positive"
"كويسه","positive"
"مبارك","positive"
"مباركه","positive"
"مبروك","positive"
"مبسوط","positive"
"محبه","positive"
"مزز","positive"
"مطمئن","positive"
"ممتاز","positive"
"ممتازه","positive"
"مميز","positive"
"موفقه","positive"
"نجاح","positive"
"نستانس","positive"
"نيالكوم","positive"
"نيالكوم","positive"
"وعي","positive"
"يجنن","positive"
"يحفظ","positive"
